Player,Tm,Pos,Type,Class,Details
Ricardo Allen,ATL,S,Achilles,I-R,Allen suffered a torn Achilles and is on the injured reserve list.
Andy Levitre,ATL,G,Tricep,I-R,Levitre is on the injured reserve list with a torn triceps.
Deion Jones,ATL,LB,Foot,I-R,Jones has landed on injured reserve with a foot injury and it is unknown if he will be activated against the Browns in Week 10.
Keanu Neal,ATL,S,Knee,I-R,Neal is on injured reserve with a torn ACL.
Brandon Fusco,ATL,G,Ankle,I-R,Fusco is on injured reserve due to an ankle injury.
Deadrin Senat,ATL,DT,Neck,questionable,Senat exited the previous game due to a neck injury and it is unknown if he will suit up Week 9 against the Redskins.
Matt Bryant,ATL,K,Hamstring,questionable,Bryant sat out the last game due to an injured hamstring and it is unclear if he will be available against the Redskins in Week 9.
Devonta Freeman,ATL,RB,Groin,I-R,"Freeman in on injured reserve with a groin injury, and it is unknown if he will be designated for return against the Cardinals in Week 15."
Cory Carter,BUF,P,Knee,I-R,Carter is recovering from a torn ACL and has been placed on injured reserve.
Chris Ivory,BUF,RB,Ankle,questionable,Ivory left the last game due to an ankle injury and it is uncertain if he will be available against the Patriots on Monday.
Taiwan Jones,BUF,RB,Neck,questionable,Jones missed the previous game due to a neck injury and it is unclear if he will play against the Patriots in Monday's matchup.
LeSean McCoy,BUF,RB,Concussion,questionable,McCoy was removed from the previous game with a concussion and it is undetermined if he will be cleared in time for Monday's tilt against the Patriots.
Trent Murphy,BUF,DE,Knee,out,Murphy sustained a knee injury and his status moving forward is week-to-week.
Josh Allen,BUF,QB,Elbow,out,Allen has an injured ulnar collateral ligament in his right elbow and is expected to miss two-to-three weeks.
Da'Norris Searcy,CAR,S,Concussion,I-R,Searcy has been placed on injured reserve after suffering a concussion.
Daryl Williams,CAR,T,Knee,I-R,Williams has been placed on the injured reserve list due to a knee injury. It is unknown if he will be activated in Week 10 against the Steelers.
Kevon Seymour,CAR,CB,Shoulder,I-R,Seymour has been placed on injured reserve with a shoulder injury.
Elijah Hood,CAR,RB,Knee,I-R,Hood suffered a knee injury and is on the injured reserve list and is expected to miss the first eight weeks of the season.
Torrey Smith,CAR,WR,Knee,questionable,Smith has a knee injury and his status is up in the air for Sunday's game against the Ravens.
