Player,Tm,Pos,Type,Class,Details
Ricardo Allen,ATL,S,Achilles,I-R,Allen suffered a torn Achilles and is on the injured reserve list.
Andy Levitre,ATL,G,Tricep,I-R,Levitre is on the injured reserve list with a torn triceps.
Keanu Neal,ATL,S,Knee,I-R,Neal is on injured reserve with a torn ACL.
Brandon Fusco,ATL,G,Ankle,I-R,Fusco is on injured reserve due to an ankle injury.
Devonta Freeman,ATL,RB,Groin,I-R,"Freeman in on injured reserve with a groin injury, and it is unknown if he will be designated for return against the Cardinals in Week 15."
Derrick Shelby,ATL,DE,Groin,I-R,Shelby has landed on injured reserve due to an injured groin muscle.
Deion Jones,ATL,LB,Foot,probable,Jones is bothered by a foot injury but is projected to be in Sunday's lineup against the Packers.
Foyesade Oluokun,ATL,LB,Knee,probable,Oluokun left the last game due to a knee injury but is expected to be available Sunday against the Packers.
Julio Jones,ATL,WR,Foot,probable,Jones has a foot injury but it is likely he will face the Packers on Sunday.
Calvin Ridley,ATL,WR,Hand,probable,Ridley is expected to play Sunday against the Packers despite injuries to his hand and elbow.
Grady Jarrett,ATL,DT,Shoulder,questionable,Jarrett is tending to a shoulder injury and it is undetermined if he will take part in Sunday's contest against the Packers.
Logan Paulsen,ATL,TE,Knee,questionable,Paulsen has a knee injury and it is unknown if he will suit up against the Packers on Sunday.
Josh Harris,ATL,LS,Knee,I-R,Harris has been designated for the injured reserve list due to a knee injury.
Sharrod Neasman,ATL,S,Neck,questionable,Neasman left the last game with neck and shoulder injuries. It has yet to be established if he will participate in Sunday's matchup with the Packers.
Cory Carter,BUF,P,Knee,I-R,Carter is recovering from a torn ACL and has been placed on injured reserve.
Corey Bojorquez,BUF,P,Shoulder,I-R,Bojorquez has been placed on injured reserve with a shoulder injury.
Taiwan Jones,BUF,RB,Neck,I-R,Jones has landed on injured reserve due to a neck injury.
Isaiah McKenzie,BUF,WR,Toe,questionable,McKenzie is hampered by a toe injury and it is unclear if he will take the field Sunday versus the Jets.
Taron Johnson,BUF,CB,Shoulder,out,Johnson is expected to miss an extended period of time while healing from shoulder surgery.
Jason Croom,BUF,TE,Groin,questionable,Croom has a groin injury and it is unclear if he will play against the Jets on Sunday.
