Player,Tm,Pos,Type,Class,Details
Ricardo Allen,ATL,SS,Achilles,probable,"Allen is rehabbing from surgery to repair a torn Achilles, but is projected to be available Sunday against the Vikings."
Julio Jones,ATL,WR,Knee,questionable,"Jones battling a knee injury, and it has yet to be determined if he will be a participant in Sunday's contest against the Vikings."
Matt Gono,ATL,T,Back,questionable,"Gono has a back injury, and it is uncertain if he will be active versus the Vikings on Sunday."
Kendall Sheffield,ATL,DB,Pectoral,questionable,"Sheffield is recuperating from a partially torn pectoral muscle, and it is unknown if he will make his season debut against the Vikings on Sunday."
Kaleb McGary,ATL,T,Heart,questionable,McGary underwent a cardiac ablation procedure but is expected to play against the Falcons on Sunday.
Damontae Kazee,ATL,SS,Ribs,questionable,"Kazee is tending to a rib injury, and it is unknown if he will be available against the Vikings on Sunday."
Matt Simms,ATL,,Undisclosed,I-R,Simms has wound up on the injured reserve list with an unspecified injury. A timetable to return has yet to be established.
Steven Means,ATL,,Achilles,I-R,Means is on the injured reserve list with a torn Achilles.
Michael Bennett,ATL,,Ankle,I-R,Bennett suffered a broken ankle and has been placed on the injured reserve list.
J.J. Wilcox,ATL,,Knee,I-R,Wilcox tore the ACL in his right knee and is on the injured reserve list.
Ra'Shede Hageman,ATL,,Suspension,out,Hageman has been given a two-game suspension for an off-field incident and is also dealing with a stinger. He is expected to be reinstated in time for Week 3 against the Colts.
Kurt Benkert,ATL,,Toe,I-R,Benkert has a toe injury and is on the injured reserve list.
Foyesade Oluokun,ATL,ML,Oblique,out,Oluokun has an oblique strain and will miss an undetermined length of time.
Quinton Spain,BUF,G,Ankle,probable,"Spain sustained an injury, but he is likely to be available Sunday against the Jets."
Andre Roberts,BUF,WR,Quadricep,questionable,"Roberts is tending to a quadriceps injury, leaving his availability for the season opener against the Jets in question."
Taron Johnson,BUF,CB,Groin,questionable,"Johnson suffered a groin injury, and it is unknown if it will affect his status for the season opener versus the Jets."
Jerry Hughes,BUF,DE,Wrist,questionable,"Hughes is tending to a wrist injury, leaving his status versus the Jets on Sunday unclear."
Robert Foster,BUF,WR,Toe,questionable,"Foster is slowed by a toe injury, leaving his status unclear for Sunday's clash against the Jets."
Mitch Morse,BUF,C,Concussion,probable,Morse is on the mend from core muscle surgery and has cleared the concussion protocol. It is likely that he will be available against the Jets on Sunday.
Conor McDermott,BUF,T,Concussion,questionable,McDermott has been placed in concussion protocol after experiencing concussion-like symptoms. It is unclear if he will play against the Jets on Sunday.
Cole Beasley,BUF,WR,Abdominal,probable,Beasley is recuperating from surgery to repair a core muscle injury. He is expected to take the field against the Jets on Sunday.
Vosean Joseph,BUF,,Shoulder,I-R,Joseph has been placed on the injured reserve list due to a shoulder injury.
Jason Croom,BUF,,Hand,I-R,"Croom has hit the injured reserve list due to a hand injury, and it is unclear when he will return to action."
Tyler Kroft,BUF,TE,Foot,out,"Kroft broke his foot during the offseason, and it is unknown how much time he will miss."
LaAdrian Waddle,BUF,,Quadricep,I-R,Waddle tore his right quadriceps and has been placed on injured reserve.
Mike Love,BUF,,Pectoral,I-R,Love is on injured reserve with a pectoral injury.
Dawson Knox,BUF,TE,Hamstring,out,Knox is tending to a hamstring injury and is without a definitive timetable for return.
Cam Newton,CAR,QB,Foot,probable,Newton has a mid-foot sprain but is expected to be available Sunday against the Rams.
Greg Little,CAR,T,Concussion,questionable,"Little is tending to a concussion, and it is unknown if he will be cleared from the concussion protocol prior to the season opener against the Rams."
Bruce Irvin,CAR,DE,Hamstring,questionable,"Irvin has a hamstring injury, and it is unclear if he will play Sunday against the Rams."
Kitt O'Brien,CAR,,Undisclosed,I-R,O'Brien has been placed on the injured reserve list with an undefined injury.
Graham Gano,CAR,,Knee,I-R,Gano has landed on injured reserve with a left knee injury.
